,Meta Data,Monthly Time Series
1. Information,"Monthly Prices (open, high, low, close) and Volumes",
2. Symbol,wti,
3. Last Refreshed,2022-12-16,
4. Time Zone,US/Eastern,
2022-12-16,,"{'1. open': '7.0300', '2. high': '7.0904', '3. low': '5.4000', '4. close': '5.7400', '5. volume': '37456561'}"
2022-11-30,,"{'1. open': '7.7400', '2. high': '9.1600', '3. low': '6.2000', '4. close': '6.8700', '5. volume': '66615039'}"
2022-10-31,,"{'1. open': '6.2600', '2. high': '8.3150', '3. low': '6.2500', '4. close': '7.5900', '5. volume': '67567595'}"
2022-09-30,,"{'1. open': '6.3200', '2. high': '7.6800', '3. low': '5.0200', '4. close': '5.8600', '5. volume': '86454852'}"
2022-08-31,,"{'1. open': '4.7600', '2. high': '7.5900', '3. low': '4.0600', '4. close': '6.5000', '5. volume': '100553208'}"
2022-07-29,,"{'1. open': '4.4000', '2. high': '5.0550', '3. low': '3.5700', '4. close': '4.9700', '5. volume': '81248039'}"
2022-06-30,,"{'1. open': '6.8400', '2. high': '9.0100', '3. low': '4.2500', '4. close': '4.3200', '5. volume': '134654784'}"
2022-05-31,,"{'1. open': '4.7000', '2. high': '7.1300', '3. low': '4.4300', '4. close': '6.7300', '5. volume': '95978846'}"
2022-04-29,,"{'1. open': '3.8400', '2. high': '5.5300', '3. low': '3.8400', '4. close': '4.7600', '5. volume': '86417476'}"
2022-03-31,,"{'1. open': '4.9400', '2. high': '6.6800', '3. low': '3.8000', '4. close': '3.8200', '5. volume': '154238930'}"
2022-02-28,,"{'1. open': '4.2000', '2. high': '4.8600', '3. low': '4.0500', '4. close': '4.8600', '5. volume': '61506400'}"
2022-01-31,,"{'1. open': '3.2600', '2. high': '4.5800', '3. low': '3.2350', '4. close': '4.2800', '5. volume': '50222124'}"
2021-12-31,,"{'1. open': '3.5400', '2. high': '3.7500', '3. low': '2.9720', '4. close': '3.2300', '5. volume': '40391187'}"
2021-11-30,,"{'1. open': '4.1900', '2. high': '4.3800', '3. low': '3.3000', '4. close': '3.4400', '5. volume': '46103416'}"
